key,file_path,snr_vad,unique_words,silence_percentage,Transcript,ElevenLabs,WER,CER
8c5d44d0-4900-4e7b-b7d9-534bec4fc871,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/8c5d44d0-4900-4e7b-b7d9-534bec4fc871.flac,31.85626221,23,6.723668869,"সাথে। আপনারা চাইলেই মোবাইল লেনদেনের নানা রকম সুবিধা উপভোগ করতে পারবেন, সুদবিহীন এই নগদ ইসলামিক এমএফএস অ্যাকাউন্ট থেকে। এই ছিল আপডেট, আপনি শুনছেন <90.4।>","কে কৃষি শ্রমিক পাওয়া যাচ্ছে না। কারণ তারা এখন অনেকে উন্নত কাজে তারা ব্যস্ত হয়ে গেছে। এখন কৃষি শ্রমিকের কারণে অনেক কৃষক কিন্তু অসুবিধায় পড়ছে। তো এই যে এভাবে-- এমন কৃষি শ্রমিকরা যাদেরকে পাওয়া যাচ্ছে তাদেরকে আমি অনেক টাকা দিতে হয়। আগে একসময় একজন কৃষি শ্রমিক এক বেলা কাজ করলে তার ঘরের উন্নতি হচ্ছে। তার যে জীবনযাত্রায় বিভিন্ন আধুনিক উপকরণ, সেই উপকরণগুলি সে করে",2.625,1.914473684
a413e41c-38ff-4cc4-bf21-21064a7bdfd4,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/a413e41c-38ff-4cc4-bf21-21064a7bdfd4.flac,11.326437,8,6.28405376,"<0> <OOC> <OOC> <OOC> <OOC> <OOC> হচ্ছে ফেসবুকের ঠিকানা, এন্ড <01841904904> হচ্ছে <OOC> নাম্বার।",এক শো চার শূন্য শূন্য ইজ আওয়ার এসএমএস নাম্বার। ফেসবুক ডটকম স্ল্যাশ আলোর ডাক আকাশ ফেম হচ্ছে ফেসবুক ঠিকানা। আন্ড জিরো ওয়ান এইট ফর ওয়ান নাইন জিরো ফোর নাইন জিরো ফোর হচ্ছে হোয়াটসঅ্যাপ নাম্বার।,2.214285714,1.520833333
06da51b0-2ad4-41a9-ab96-cdc599c481c5,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/06da51b0-2ad4-41a9-ab96-cdc599c481c5.flac,10.56289196,1,94.88926746,সখিনা.,কিনা কাঁদে,2.0,1.333333333
2e7732b4-7899-47eb-8e02-8ad0ed39e7d6,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/2e7732b4-7899-47eb-8e02-8ad0ed39e7d6.flac,10.77369881,10,4.8,"শ্রী গুরু রাম, গুরু রাম। যদি পিতা সুস্বাগতম, বন্ধু বন্ধু সুস্বাগতম, শিষ্য শিষ্য সুস্বাগতম।",মুন্সীগঞ্জ রহমান। জাতির পিতা সুস্বগতম বঙ্ক বন্ধু সুস্বগতম শিল্পজীবী সুস্বগতম। আর ওওওওও আর আর আর আর। আর আর আর আর আর।,1.5,0.8444444444
f9a1d622-9505-496d-8b01-7cf76afaf835,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/f9a1d622-9505-496d-8b01-7cf76afaf835.flac,33.66969681,41,15.6,"বাংলার ইতিহাস, এদেশের মানুষের রক্ত দিয়ে রাজপথ রঞ্জিত করা ইতিহাস। ভাইয়েরা, আমার <২৫> তারিখে অ্যাসেম্বলি কল করেছে, রক্তের দাগ শুকায় নাই। আমি <১০> তারিখে এসে বলে দিয়েছি যে, ওই শহীদের রক্তের উপর দিয়ে, পাড়া দিয়ে, আর কিছুতে মজিবুর রহমান যোগদান করতে পারে না। অ্যাসেম্বলি কল।","বাট আমাদের একটা মনে হয় ভুলে গেলে চলবে না, দ্যাট ইজ ভেরি ভেরি ইম্পর্ট্যান্ট। যে বিডি ইলেভেন এখানে বলা হয়েছে, মূল্যবান সামগ্রী ও স্থাবর সম্পত্তি অর্জন ও হস্তান্তর। এটা ডেলিভার করতে গেলে অনেক সময় লাগবে। উই আন্ডারস্ট্যান্ড হোয়াট ইজ কল্ড ইম্পর্ট্যান্ট আইটেম्स। স্থাবর সম্পত্তি, অস্থায়ী সম্পত্তি যেখানে আমরা চাকরি করি, যাই কিছু করি না কেন, ঊর্ধ্বতন কর্তৃপক্ষ আমি যে র্যাঙ্কে চাকরি করছি, আমার ঊর্ধ্বতন একজন কর্তৃপক্ষ আছে।",1.488888889,1.164233577
f02725d8-db98-4bf3-8574-46cb46e0648b,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/f02725d8-db98-4bf3-8574-46cb46e0648b.flac,42.94889832,39,5.0,"রহমান, তিনি চেয়েছিলেন শিশুরা পড়াশোনার পাশাপাশি শিল্প সংস্কৃতির চর্চার মাধ্যমে বড় হোক। তিনি চাইতেন শিশুরা হাসবে, গাইবে, ছবি আঁকবে, পাশাপাশি গল্প লিখবে। তাই আজ শিশুদের জন্য সবচেয়ে বেশি আনন্দের <OOC> পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের জন্মদিন। হে পিতা, তোমার কারণেই আজ বাংলাদেশ, তোমার জন্য।","জলবায়ু পরিবর্তনের প্রভাব কমাতে সহায়তা করতে পারে ব্যাংকগুলো। গ্লাসগোতে গোলটেবিল আলোচনার পরিপ্রেক্ষিতে এডিবির প্রেসিডেন্ট মাসাতোসুগু আসাকাওয়া বলেন, এশিয়ান ডেভেলপমেন্ট ব্যাংক স্বীকার করে জলবায়ু পরিবর্তন মোকাবেলা করতে ও সবার জন্য সমৃদ্ধ জীবন গড়ে তুলতে প্রকৃতি রক্ষা অপরিহার্য We meet today ah because of our shared commitment ah to promote a green recovery in Asean. এশিয়ান ডেভেলপমেন্ট ব্যাংক ছাড়াও অন্য নেতৃত্বস্থানীয় বহুপাক্ষিক উন্নয়ন ব্যাংক একটি উচ্চস্বরের জোর",1.454545455,1.281786942
ba4b3758-2246-45ae-9fb7-f28b9bd0ecdb,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/ba4b3758-2246-45ae-9fb7-f28b9bd0ecdb.flac,23.59630394,24,9.6,"খুলে দাও, রাখো তোমার পাশে পাশে। ওই প্রেমের দরজা খোলো না, কাল কি হবে জানিনা। ওই প্রেমের দরজা খোলো না, কাল কি হবে জানিনা। আজকে না হয় ভালোবাসো, আর কোনদিন নয়। আরে, আজকে না হয় ভালোবাসো, আর কোনদিন নয়। ওই প্রেমের দরজা খোলো না।","হয়। সেই কারণে বিভিন্ন জায়গায় পুলিশের সাথে তারা সংঘর্ষে জড়িয়েছে। আবার নিজেরাও নিজেরাও তারা নিজেদের সমাবেশ ভাণ্ডুল করে। চট্টগ্রামে করেছে, বিভিন্ন জায়গায় করেছে। আর আমাদের দলকে আমরা নির্দেশনা দিয়েছি সতর্ক প্রহরায় থাকার জন্য। যদিও যদি কেউ জনগণের উপর হামলা পরিচালনা করে, জনগণ প্রতিরোধ গড়লে জনগণের সাথে আমাদের দলও সহায়তা করবে। এর আগে ওরিয়েন্টেশন অনুষ্ঠানে বক্তৃতাকালে তথ্য ও সম্প্রচার মন্ত্রী দেশাত্মবোধ, মমত্ববোধ এবং মেধার",1.431818182,1.421524664
ca034abd-c029-491f-8a76-d3ae10df6b75,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/ca034abd-c029-491f-8a76-d3ae10df6b75.flac,21.84087944,54,2.8,"না করবে যে যিনি এই অরাজকতা করছেন, যে এই আমার প্রাণের দেশ, রক্তের বিনিময়ে যে দেশ আমরা স্বাধীন করেছি, সেই দেশের মধ্যে যে তাণ্ডব মেলা চালাচ্ছেন, অকারণে, শুধু একটা ক্ষমতার লোভে। আপনি দেখেন, পুলিশের মাধ্যমে কিন্তু মামলা গ্রেপ্তার হওয়ার পরে কিন্তু উঠে এসেছে যে তিনি <২১শে> আগস্টে যে গ্রেনেড হামলা হয়েছে, সে গ্রেনেড হামলার সাথে জড়িত ছিলেন। এবং প্রতিদিনই নতুন নতুন তথ্য আমরা পাচ্ছি।","শর্করায় কিন্তু হজম হয়ে অয়াপসর্বন হয়ে গিয়ে গ্লুকোজ হয়ে যাচ্ছে। তাহলে এই গ্লুকোজটাই কিন্তু এত বেশি খাবার খাচ্ছে, রক্তের গ্লুকোজ না বেড়ে কোনো পথ খোলা নাই। তাহলে এটাকে কিন্তু বন্ধ করতে হবে। আমরা কিন্তু সারা পৃথিবীতে সবচেয়ে বেশি যারা শর্করাজাতীয় খাবার খায়, সে দেশে, সে অ-অঞ্চলের মানুষ সবচেয়ে বেশি কম আমিল জাতীয় খাবার খায়, সেটিও কিন্তু আমরা করছি। এ দুটোর মধ্যে একটু সমন্বয় আনতে হবে। কার্বোহাইড্রেট কমাতে হবে, প্রোটিন বাড়াতে হবে। তাহলে কিন্তু আমাদের যাদের ডায়াবেটিস নেই তাদের জন্য ডায়াবেটিস প্রতিরোধ সম্ভব। যাদের আছে ভালো রক্তের গ্লুকোজ নিয়ন্ত্রণ।",1.3125,1.100529101
2825e0ac-0f08-4d69-801f-794f5897d14c,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/2825e0ac-0f08-4d69-801f-794f5897d14c.flac,10.1595068,23,15.0,"জাগো, তরী অভিশাপ! আমি তোরে নিবে, রে মায়াতে। আমি তোরে স্নেহের ছায়াতে। ভালোবাসার ছবি আঁকে মেঘনা যমুনায়। তুই আমার প্রেম রে, ও ও ও, তুই আমার দেশ রে।","আগত হই অভিসার। আমি তোর নিবিড় মায়াতে, আমি তোর স্নেহের ছায়াতে। ভালোবাসার ছবি আঁকি মেঘনা যমুনায়। তুই আমার প্রেমরে। ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও ও তুই আমার দেশরে।",1.285714286,0.462585034
0338c020-f9b5-4524-a776-c1f5217bbaaa,G:/STT D3/deliverables3/collect/STT_D3_500_hrs/0338c020-f9b5-4524-a776-c1f5217bbaaa.flac,17.27311325,50,5.2,"এটিও কিন্তু সহনীয় পর্যায়ে আছে, মানে মানুষের ঘনত্বটা যদি আপনি বলেন, বা রাস্তায় গাড়িগুলো চলাচলে যে ঘনত্ব, সেটা কিন্তু সীমার মধ্যে আছে। যেটি আমরাও, যারা কোভিডের যারা এক্সপার্ট, তারাও কিন্তু বলেন যে এই পর্যায়েও যদি থাকে, বা আরেকটু যদি বাড়ে, তাহলেও কিন্তু কোভিডের জন্য যে ভয়টা, সেটা কিন্তু এটাতেই আমাদের মেকআপ হবে। এই লকডাউনটা যদি চালিয়ে যাওয়া যায়, কিন্তু এই লকডাউনটা চালিয়ে যেতে হবে। চালিয়ে যেতে হবে। ডাক্তার মুস্তাকের কথা বলছিলেন, আমাদের বিভিন্ন।","তখন, তখন স্কুলে যেতে খারাপ লাগত। সব জুনিয়রদের সাথে ক্লাস করা লাগবে। এইগুলোও খুব খারাপ লাগতো তখন। তারপরেও করতাম। করার পর একটা টিচারের কাছে পড়লাম কেমিস্ট্রি তে। না আই গট এ প্লাস। হোয়াটআভার, এ প্লাস পেলাম পরের বার। এতদিন এই যে এ প্লাস যে পেলাম, এ প্লাসের আগে অনেক কাহিনী হয়ে গিয়েছে। একদিন আমার মনে হয়েছে, এত খারাপ অবস্থা। আমার বাব্বু আমার সাথে এত মিসবিহেভ করতেছিল। খুবই বাজেভাবে কথা বলা এবং সে, সে আমার আম্মার কাছে আম্মাকে কিছুটা ছুড়ে মারতে যাচ্ছিল এরকম আমার মনে হয়েছে। আমার মানে আমি আমার ফ্যামিলির এরকম খুব বেশি...",1.260273973,0.8813186813
